1;Lorsque l'on déplace la souris, le curseur bouge;VRAI;image-f1.png;easy
2;Il existe plusieurs types de claviers;VRAI;image-f2.png;easy
3;De nos jours, les souris de bureau possèdent au moins 4 boutons;FAUX;image-f3.png;easy
4;Le logiciel Word permet de modifier des images;FAUX;image-f4.png;easy
5;Il faut avoir accès à internet pour pouvoir se connecter à Facebook;VRAI;image-f5.png;easy
6;Le logo de Twitter est un chien rouge;FAUX;image-f6.png;easy
7;Samsung est une marque de smartphones;VRAI;image-f7.png;easy
8;Les tablettes sont en général plus grandes que les smartphones;VRAI;image-f8.png;easy
9;Les virus d'ordinateurs sont contagieux pour l'Homme;FAUX;image-f9.png;easy
10;Il est possible de brancher un casque audio à son ordinateur;VRAI;image-f10.png;easy
11;Tous les claviers d'ordinateurs possèdent la touches F13;FAUX;image-f11.png;easy
12;Un smartphone est un téléphone très limité en fonctionnalités;FAUX;image-f12.png;easy
13;Il est possible de contrôler certains appareils électriques à partir de son téléphone;VRAI;image-f13.png;easy
14;Il est possible de rouler en voiture depuis son smartphone;FAUX;image-f14.png;easy
15;Un ordinateur produit de la chaleur;VRAI;image-f15.png;easy
16;Le symbole d'Apple est une poire;FAUX;image-f16.png;easy
17;Facebook est un logiciel de retouche de photos;FAUX;image-f17.png;easy
18;Photoshop est un réseau social où l'on peut dialoguer avec ses amis;FAUX;image-f18.png;easy
19;eBay est un jeu vidéo de zombie mondialement connu;FAUX;image-f19.png;easy
20;Un antivirus permet de se protéger des données infectées;VRAI;image-f20.png;easy
21;Un bug est un défaut de réalisation dans un programme;VRAI;image-f21.png;easy
22;La corbeille est vidée tous les mardis soirs à 21h;FAUX;image-f22.png;easy
23;Il est possible de zoomer avec ses doigts sur un écran tactile;VRAI;image-f23.png;easy
24;Un e-mail est un courrier électronique;VRAI;image-f24.png;easy
25;Il est possible de mettre en veille un ordinateur;VRAI;image-f25.png;easy
26;Un bandit informatique est une personne qui tente de prendre le contrôle de votre ordinateur par effraction;FAUX;image-f26.png;easy
27;Les écrans sont composés de pixels;VRAI;image-f27.png;easy
28;Un Pop-up est un message électronique non sollicité qui encombre votre boîte de courrier internet;FAUX;image-f28.png;easy
29;Pour aller sur Internet, j'utilise un aviateur;FAUX;image-f29.png;easy
30;Outlook est un moteur de recherche;FAUX;image-f30.png;easy
31;Lorsqu'un fichier se retrouve dans la corbeille, il est perdu à tout jamais;FAUX;image-f31.png;easy
32;Dans un logiciel de traitement de texte, le pompier gère le style de l'écriture;FAUX;image-f32.png;easy
33;Un « surfeur » est le nom donné au logiciel qui permet de surfer sur Internet;FAUX;image-f33.png;easy
34;Instagram est une application de messagerie instantanée en ligne;FAUX;image-f34.png;easy
35;Il existe des perches pour prendre des selfies;VRAI;image-f35.png;easy
36;Le « S » dans HTTPS indique que le site est sécurisé;VRAI;image-i1.png;medium
37;Les smartphones sont des mini-ordinateurs;VRAI;image-i2.png;medium
38;Le raccourci clavier « CTRL + C » permet de coller un élément préalablement copié;FAUX;image-i3.png;medium
39;Windows fabrique tous les ordinateurs du monde;FAUX;image-i4.png;medium
40;Il est impossible de recharger son téléphone via le port USB de son ordinateur;FAUX;image-i5.png;medium
41;Le système binaire n'est composé que des chiffres 0, 1 et 2;FAUX;image-i6.png;medium
42;Les composants d'un ordinateur sont reliés à une carte Père;FAUX;image-i7.png;medium
43;Les sites internet utilisent des brownies pour garder nos données;FAUX;image-i8.png;medium
44;Certains ordinateurs possèdent un écran tactile;VRAI;image-i9.png;medium
45;Un dossier permet de stocker un nombre infini de fichiers tant que ça ne dépasse pas la capacité maximale du disque dur;VRAI;image-i10.png;medium
46;Il est possible de partitionner son disque dur;VRAI;image-i11.png;medium
47;Il est possible de créer ses propres raccourcis clavier;VRAI;image-i12.png;medium
48;Un serveur est un « gros ordinateur » qui stocke des données;VRAI;image-i13.png;medium
